,0
0,https://www.apartments.com/jackson-apartments-seattle-wa/vblnwkf/
1,https://www.apartments.com/elan-41-seattle-wa/84egbw0/
2,https://www.apartments.com/circa-green-lake-apartments-seattle-wa/bwmn6x8/
3,https://www.apartments.com/luna-seattle-wa/yey9vtr/
4,https://www.apartments.com/tower-12-seattle-wa/sx3e5w7/
5,https://www.apartments.com/common-summit-seattle-wa/1kqlte6/
6,https://www.apartments.com/harbor-steps-seattle-wa/f2k13cs/
7,https://www.apartments.com/ballard-57-apartments-seattle-wa/e04s10m/
8,https://www.apartments.com/fox-finch-apartments-seattle-wa/2vfz449/
9,https://www.apartments.com/tellus-on-dexter-apartments-seattle-wa/2t6p4k8/
10,https://www.apartments.com/lane-seattle-wa/s7wg576/
11,https://www.apartments.com/overlook-at-magnolia-seattle-wa/pmzb5pv/
12,https://www.apartments.com/met-tower-seattle-wa/qjgvn6y/
13,https://www.apartments.com/olympus-seattle-wa/vyeqn7d/
14,https://www.apartments.com/the-olivian-seattle-wa/srj9ny6/
15,https://www.apartments.com/leilani-apartment-homes-seattle-wa/nq961rp/
16,https://www.apartments.com/airmark-apartments-seattle-wa/qrmphlw/
17,https://www.apartments.com/assembly118-seattle-wa/bxw49bc/
18,https://www.apartments.com/helm-seattle-wa/5r5yjgm/
19,https://www.apartments.com/mera-seattle-wa/mb7682j/
20,https://www.apartments.com/origin-apartments-seattle-wa/xkbt5xn/
21,https://www.apartments.com/chloe-on-union-seattle-wa/dqwtp9k/
22,https://www.apartments.com/griffis-belltown-seattle-wa/wp85ysj/
23,https://www.apartments.com/charbern-apartments-seattle-wa/xhwycjn/
24,https://www.apartments.com/amli-south-lake-union-seattle-wa/wec85fk/
25,https://www.apartments.com/arthouse-seattle-wa/dgwn88h/
26,https://www.apartments.com/amli-mark24-seattle-wa/twk16f9/
27,https://www.apartments.com/the-station-at-othello-park-seattle-wa/jbdwrp5/
28,https://www.apartments.com/elara-at-the-market-seattle-wa/15vbwd5/
29,https://www.apartments.com/pike-motorworks-seattle-wa/36w9qlf/
30,https://www.apartments.com/via-6-seattle-wa/kcfv0lc/
31,https://www.apartments.com/cascade-seattle-wa/pwl4xcr/
32,https://www.apartments.com/park-south-seattle-wa/39gy0kf/
33,https://www.apartments.com/spruce-seattle-wa/4004bel/
34,https://www.apartments.com/mark-on-8th-seattle-wa/j0fwr05/
35,https://www.apartments.com/the-mill-at-first-hill-seattle-wa/3z5s8mg/
36,https://www.apartments.com/lofts-at-the-junction-seattle-wa/cpjhyce/
37,https://www.apartments.com/centennial-tower-and-court-seattle-wa/49dmkrl/
38,https://www.apartments.com/helios-seattle-wa/qb5scwx/
39,https://www.apartments.com/saxton-seattle-wa/zsf985y/
40,https://www.apartments.com/odin-seattle-wa/lqkg86d/
41,https://www.apartments.com/vive-seattle-wa/2nhksx8/
42,https://www.apartments.com/bogtown-flats-seattle-wa/7ttqnjy/
43,https://www.apartments.com/westlake-steps-seattle-wa/9wpsv97/
